"",".","..1"
"1","치매조기검진","요즘들어 저희 시아버지께서 손자 이름을 다르게 부르시고, 집을 못 찾아오셔서 저희 가족들이 찾으러 나가는 일이 자주 생기고 있어요. 혹시 치매가 아닌지 걱정이 되는데, 정확한 진단을 받고 치료를 받을 수 있을까요?"
"2","노인돌봄기본서비스","저는 혼자 외롭게 살고 있는 70세의 할아버지입니다. 형편이 어려워 끼니를 제때 챙기지도 못하고 겨울에는 난방도 제대로 하지 못하고 있어요. 게다가 살고 있는 곳이 너무 외져서 갑자기 몸이라도 아프면 어떻게 해야 되나 눈앞이 깜깜합니다. 저처럼 어렵게 살고 있는 독거노인을 도와주는 제도가 있으면 알려주세요."
"3","노인일자리사업","저는 정년퇴직을 하고 노후생활을 즐기고 있는 68세 할아버지입니다. 얼마 전, 동네에 있는 산으로 운동을 다녀왔는데, 그 곳에서 할머니, 할아버지들이 숲생태 해설가로 일하고 계시는 것을 보았어요. 노인들이 다시 일을 할 수 있다는 모습을 보니 저도 일하고 싶다는 의욕이 생기더군요. 어떻게 하면 저도 일자리를 구할 수 있을까요?"
"4","기초연금액 산정","저는 올해 67세인데 국민연금을 받지 않고 있습니다. 저는 얼마의 기초연금을 받을 수 있나요?"
"5","장기요양등급 판정","저희 남편은 치매로 3년이 넘게 병원에 다니고 있어요. 그런데 옆집에 살고 있는 할머니는 저희 남편과 비슷한 상태인데도 불구하고 장기요양급여를 받고 있더라고요. 건강상태가 비슷한데도 저희 남편은 왜 장기요양급여를 받지 못하는지 이해할 수 없네요."
"6","노인학대 신고 및 처벌","저는 관절염을 앓고 있어서 거동이 불편한 할머니입니다. 아들 부부와 함께 살고 있는데, 며느리는 제가 그렇게 싫은지 식사를 주지 않는 것은 물론이고, 돈도 안 벌면서 밥을 많이 먹는다고 구박하거나 병원비와 약값이 많이 든다며 눈치를 주네요. 너무 괴로워서 살 수가 없는데, 저는 어떻게 해야 하나요?"
"7","방문목욕서비스 비용 지원","몇 년 전에 중풍에 걸려 지금은 오른쪽 손발을 자유롭게 사용할 수 없는 상태예요. 혼자 일상적인 생활을 하는 것도 불편하지만 특히, 목욕하는 것이 가장 힘들어요. 시설에 도움을 받고 싶은데 지원받을 수 있는 방법이 있을까요?"
"8","노인주거복지시설의 입소","저희 부부는 자식들을 전부 결혼시키고 단둘이 사는데요. 둘이 살기에는 지금 살고 있는 집도 좋지만, 조금 더 편리한 시설이 갖춰진 곳에서 같은 또래의 노인들과 함께 모여 살면서 편안한 노후를 보내고 싶어요. 저희 부부처럼 생활이 어렵지 않더라도 복지시설에 들어가서 생활할 수 있을까요?"
"9","기초연금과 국민연금 동시 수급","저는 올해 65세가 되었어요. 정부에서 우리 같은 노인들을 위해 기초연금을 주고 있다고 해서 신청하려고 하는데, 제가 지금 국민연금을 받고 있거든요. 국민연금과 기초연금을 같이 받을 수 있나요?"
"10","기초생활수급과 기초연금의 동시 수급","아내와 사별 후, 혼자 어렵게 살고 있는 70세 할아버지입니다. 요즘에는 아픈 곳이 많아져서 더 이상 일도 할 수 없고 점점 생활하는 것이 힘들어집니다. 그래서 자격만 된다면 기초생활보장제도의 도움을 받고 싶은데요. 기초연금을 받고 있는 사람도 기초생활수급자가 될 수 있나요?"
